Date,Day,Time ,ULG95,DK,ULTSU,ULTDK,Total
11.01.2017,środa,18:15,12000,0,7003,16302,35305
12.01.2017,czwartek,14:42,0,0,0,17001,17001
12.01.2017,czwartek,16:19,0,0,0,16001,16001
13.01.2017,piątek,22:37,8437,13998,0,12002,34437
14.01.2017,sobota,,0,0,0,0,0
15.01.2017,niedziela,,0,0,0,0,0
16.01.2017,poniedziałek,06:04,6499,12000,2999,12000,33498
17.01.2017,wtorek,06:00,0,12997,0,20433,33430
18.01.2017,środa,06:19,0,13401,0,17402,30803
19.01.2017,czwartek,06:13,10600,11999,0,12001,34600
20.01.2017,piątek,06:51,4000,12001,3000,14001,33002
21.01.2017,sobota,17:47,3901,14598,0,14600,33099
22.01.2017,niedziela,,0,0,0,0,0
23.01.2017,poniedziałek,09:40,4001,10999,0,15000,30000
24.01.2017,wtorek,16:18,9000,24001,0,0,33001
25.01.2017,środa,19:43,3916,15000,0,15001,33917
26.01.2017,czwartek,,0,0,0,0,0
27.01.2017,piątek,06:17,0,14998,0,18456,33454
28.01.2017,sobota,06:02,9000,13001,0,11999,34000
29.01.2017,niedziela,,0,0,0,0,0
30.01.2017,poniedziałek,06:08,9000,11001,6000,9000,35001
31.01.2017,wtorek,11:59,0,30602,0,3000,33602
